0x40a7c3, 148638693, 137754781, 10883912
0x40a807, 137754781, 136856955, 897826
0x40a847, 136856955, 131402582, 5454373
0x40a88b, 131402582, 130392261, 1010321
0x40a8cb, 130392261, 127436175, 2956086
0x40a90f, 127436175, 126792564, 643611
0x40a94f, 126792564, 124463408, 2329156
0x40a993, 124463408, 123978561, 484847
0x40a9d3, 123978561, 122168861, 1809700
0x40aa17, 122168861, 121673314, 495547
0x40aa57, 121673314, 120199365, 1473949
0x40aa9b, 120199365, 119672994, 526371
0x40aadb, 119672994, 118330279, 1342715
0x40ab1f, 118330279, 117860644, 469635
0x40ab5f, 117860644, 116355574, 1505070
0x40aba0, 116355574, 116355467, 107
0x40a78b, 116355574, 116062130, 293444
0x40abb6, 116355467, 116355335, 132
0x40abc4, 116355442, 116355442, 0
0x40b19e, 78757472, 12292527, 66464945
0x40b192, 78629150, 462821, 78166329
0x40b1da, 66464945
0x40abe6, 50841127, 0x40ad2e, 17058402, 0x40af0a, 16992878, 0x40ae1c, 16789847
0x40a468, 50841127, 47984121, 2857006
0x40a4ba, 47984121, 46006002, 1978119
0x40a4fa, 46006002, 44465091, 1540911
0x40a53a, 44465091, 43012417, 1452674
0x40a57a, 43012417, 41119275, 1893142
0x40a5ba, 41119275, 39304409, 1814866
0x40a5fa, 39304409, 37649707, 1654702
0x40a63a, 37649707, 36334229, 1315478
0x40a67a, 36334229, 35243514, 1090715
0x40a6ba, 35243514, 34486590, 756924
0x40a6fa, 34486590, 33911868, 574722
0x40a73a, 33911868, 33340091, 571777
0x40a77a, 33340091, 32576563, 763528
0x40b271, 22311146, 12060799, 10250347
0x405695, 20852410, 4170, 20848240
0x40567e, 20848240, 19, 20848221
0x4056a7, 20848240, 6761020, 14087220
0x40b265, 19728637, 591143, 19137494
0x40cc08, 17456600, 17456580, 20
0x40cc37, 17456580, 358724, 17097856
0x40cc6a, 17097856
0x40cdc1, 17097856, 17097836, 20
0x40ace0, 17058402
0x40ad2e, 17058402, 10187037, 6871365
0x40aebc, 16992878
0x40af0a, 16992878, 10399539, 6593339
0x40ae1c, 16789847, 10168026, 6621821
0x40adce, 16789847
0x4056ce, 14087220, 1419461, 12667759
0x4057c9, 14087220, 14087220, 0
0x40c582, 13487600, 13487076, 524
0x40c5f7, 13487076, 13485317, 1759
0x4056de, 12667759
0x7b9125188d87, 12662772
0x40b252, 12292527, 3173652, 9118875
0x40b325, 12060799, 3045330, 9015469
0x40c857, 11023059, 11023039, 20
0x40c87d, 11023039, 11023039, 0
0x40a7f7, 10883912
0x40ae71, 10399539, 889067, 9510472
0x40b2ad, 10250347
0x40ac95, 10187037, 1132322, 9054715
0x40ad83, 10168026, 960448, 9207578
0x40c2a8, 9121142, 9121127, 15
0x40c2d6, 9121127, 3300290, 5820837
0x40b258, 9118875
0x40b32b, 9015469
0x40c383, 8335458, 8335453, 5
0x40c3b1, 8335453, 4318003, 4017450
0x4053a3, 8180481, 6761020, 1419461
0x40576d, 8180481, 1419461, 6761020
0x40ac74, 8003687
0x40ad62, 7582269
0x40ae50, 7482406
0x40ac67, 7482406, 425297, 7057109
0x40ad36, 6871365
0x40ad39, 6871365, 336437, 6534928
0x4057b8, 6761020, 6761020, 0
0x405779, 6761020, 6761020, 0
0x40ae27, 6621821, 83713, 6538108
0x40ae24, 6621821
0x40af12, 6593339
0x40af15, 6593339, 6593339, 0
0x40c2fe, 5820848, 5819848, 1000
0x40a87b, 5454373
0x40b4ea, 4992808, 4808811, 183997
0x40b432, 4958046, 4781504, 176542
0x40b8d7, 4364144
0x40bcf6, 4364144, 4364124, 20
0x40b9d0, 4364144, 4364124, 20
0x40bbe7, 4364144
0x40c416, 4318005, 4317704, 301
0x40c3d9, 4017453, 4016313, 1140
0x40c33b, 3300294, 3299954, 340
0x40b264, 3173652, 0, 3173652
0x40b337, 3045330, 0, 3045330
0x40b340, 3045330
0x40a8ff, 2956086
0x40a4ab, 2857006
0x40a983, 2329156
0x40cd45, 2167859, 1909074, 258785
0x40a4eb, 1978119
0x40a5ab, 1893142
0x40a5eb, 1814866
0x40aa07, 1809700
0x40a62b, 1654702
0x40a52b, 1540911
0x40ab93, 1505070
0x40aa8b, 1473949
0x40a56b, 1452674
0x40c9c1, 1441527, 436478, 1005049
0x40c9d0, 1441527, 0x4109c5, 27756, 0x411ef1, 27739, 0x411e8e, 27739, 0x411e2b, 27739, 0x411dc8, 27739, 0x411d65, 27739, 0x411d02, 27739, 0x411c9f, 27739, 0x411bd9, 27739, 0x411b76, 27739
0x40c94c, 1441527
0x4053e0, 1419461, 1419461, 0
0x4053ec, 1419461, 521220, 898241
0x405787, 1419461, 1, 1419460
0x405388, 1419461
0x4057a1, 1419461
0x405795, 1419460
0x40ab0f, 1342715
0x40a66b, 1315478
0x40b88c, 1310740, 1310720, 20
0x40c1fa, 1310720, 1305600, 5120
0x40c48a, 1310720, 1305600, 5120
0x40bb62, 1310720, 1310700, 20
0x40c05a, 1310720, 5120, 1305600
0x40c066, 1305600, 652800, 652800
0x40c18c, 1305600, 1300500, 5100
0x40ad38, 1132322, 84981, 1047341
0x40b02f, 1102415, 1102415, 0
0x40b03f, 1102415, 474264, 628151
0x40a6ab, 1090715
0x40a7b4, 1056972
0x40a8bc, 1010321
0x40ae26, 960448, 16150, 944298
0x40ac2d, 946578, 572300, 374278
0x40ac68, 946578, 0, 946578
0x40ac4b, 946578
0x40540d, 898241, 372400, 525841
0x40a838, 897826
0x405626, 893621, 0x4057a1, 893620, 0x40564e, 1
0x40af14, 889067, 889067, 0
0x40b812, 863645, 852401, 11244
0x40af49, 846715, 504046, 342669
0x40a6eb, 756924
0x40ccff, 669863
0x40cc81, 669863, 282483, 387380
0x40d452, 666144, 555120, 111024
0x40ed01, 666144, 387382, 278762
0x40c09c, 652800, 641556, 11244
0x40a940, 643611
0x40b081, 628151, 591143, 37008
0x40ccf9, 618961, 258953, 360008
0x40cc8b, 618961
0x40b0d4, 591143
0x40b3b7, 591143, 250014, 341129
0x40af61, 591143, 518233, 72910
0x40b174, 591143, 0, 591143
0x40b338, 591143, 591143, 0
0x40b334, 591143
0x40a72b, 574722
0x40a76b, 571777
0x40afb1, 542476, 0x40b174, 542476
0x40aacc, 526371
0x405416, 525841, 525840, 1
0x405530, 525840
0x40561b, 525840, 0x4057a1, 525840
0x40544f, 521220
0x40af91, 518233, 451079, 67154
0x40b087, 511272
0x40b0c1, 511272, 0, 511272
0x40abe8, 511272, 136994, 374278
0x40b0cf, 511272
0x40aa48, 495547
0x40a9c4, 484847
0x40ab50, 469635
0x40b261, 462821
0x405a13, 444596, 20, 444576
0x405a29, 444576, 444576, 0
0x405a00, 444576, 79, 444497
0x40c95d, 444574, 8096, 436478
0x40af42, 425297
0x40af45, 421418
0x40ccc3, 409537, 99682, 309855
0x40ed2f, 387382, 305127, 82255
0x40af5a, 374278, 0x40b0c1, 374278
0x40af4d, 374278, 374278, 0
0x40ac31, 374278, 374278, 0
0x40ac42, 374278
0x40af57, 374278
0x40ac24, 374278
0x4054aa, 372400
0x4181dd, 362512, 318832, 43680
0x40cc73, 358744, 109, 358635
0x40cd53, 358744, 258785, 99959
0x40cd58, 358744, 358744, 0
0x40cc7d, 358635, 127054, 231581
0x40cd16, 358635
0x40b3c0, 341129
0x40ed16, 278762, 249993, 28769
0x40b560, 250014, 183997, 66017
0x40b4ae, 250014
0x40b3f9, 250014
0x40b566, 250014, 65996, 21
0x40b4a8, 250014, 176542, 73472
0x417f20, 185757, 2737, 183020
0x40b5fa, 183997, 70191, 113806
0x417f28, 183020, 119708, 63312
0x417ffe, 179618, 3554, 176064
0x417f0c, 179387, 36350, 143037
0x417f82, 179387
0x418006, 176064, 111896, 64168
0x40b764, 173596, 173596, 0
0x418060, 170612
0x417fea, 170612, 33234, 137378
0x40b68a, 166810, 90392, 76418
0x40af59, 136994, 0x40b0c1, 136994
0x40b664, 136187, 54265, 81922
0x417f5d, 122445, 3096, 119349
0x41803b, 115450, 8014, 107436
0x40b60a, 113827, 28924, 84882
0x40d46d, 111024, 0, 111024
0x40d465, 111024, 111024, 0
0x40d41b, 111024, 110956, 68
0x40ed33, 111024, 111024, 0
0x40ed82, 111024, 68, 110956
0x40d405, 111024, 80, 110944
0x40ed3b, 111024, 0, 111024
0x40d477, 111024, 68, 110956
0x4103c2, 111024
0x40ecea, 111024
0x40e24d, 110956
0x40e13f, 110956
0x40dbf4, 110956
0x40e8a9, 110956
0x40d598, 110956
0x40e799, 110956
0x40eac7, 110956
0x40e9b5, 110956
0x40ebd5, 110956
0x40e688, 110956
0x40e46e, 110956
0x40e35e, 110956
0x40ed97, 110956
0x40d48c, 110956
0x40e579, 110956
0x40d6a9, 110956
0x40d449, 110956
0x40e02f, 110956
0x40d7b9, 110956
0x40d8c9, 110956
0x40d9d3, 110956
0x40dae4, 110956
0x40dd04, 110956
0x40de0e, 110956
0x40df1f, 110956
0x40af9a, 107802, 59135, 48667
0x40af48, 99863, 68254, 31609
0x40b6e4, 83204, 83204, 0
0x410223, 82240
0x40ff38, 82240
0x40fd40, 82240
0x40f56a, 82240
0x40f27c, 82240
0x40f955, 82240
0x40ee92, 82240
0x40f375, 82240
0x40f46f, 82240
0x40f666, 82240
0x40f760, 82240
0x40f85a, 82240
0x40fa4f, 82240
0x40fb4a, 82240
0x40fc44, 82240
0x40fe39, 82240
0x41012a, 82240
0x40f17f, 82240
0x410322, 82240
0x40f085, 82240
0x41002e, 82240
0x40ef88, 82240
0x40b70a, 76418, 39330, 0
0x40af7c, 72910, 32262, 40648
