0x7b43b3bb2d42, 47, 0x7b439f4ca8e0, 2, 0x7b439f4b5070, 2, 0x7b439f4d8eb0, 2, 0x7b439f4d8fe0, 2, 0x7b43b3bbd8d0, 1, 0x7b439f537510, 1, 0x7b439f4d8f30, 1, 0x7b439f4b4fb0, 1, 0x7b439f4b4ce0, 1, 0x7b439f4ca880, 1
0x7b43b3bae350, 45
0x7b43b3bb91f0, 44, 42, 2
0x4013c7, 40, 40, 0
0x7b43b3bb965d, 40, 40, 0
0x7b43b3bca540, 39, 3, 36
0x7b43b3ba7379, 36, 32, 4
0x7b43b3bc9b80, 34, 33, 1
0x7b43b3ba7370, 32, 0, 32
0x7b43b3bb2413, 32, 3, 29
0x4012ae, 30, 15, 15
0x7b43b3bab3af, 30, 20, 10
0x40132d, 30, 29, 1
0x7b43b3bb9538, 30, 1, 29
0x7b43b3bb9549, 30, 29, 1
0x7b43b3bb241a, 29, 0, 29
0x7b43b3bbc274, 29, 1, 28
0x7b43b3bad3ff, 29, 0, 29
0x7b43b3bad3f1, 29
0x7b43b3bb2438, 29, 28, 1
0x7b43b3bb2422, 29, 10, 19
0x7b43b3bcb8e5, 28, 15, 13
0x7b43b3bbc287, 28, 3, 25
0x7b43b3bab39e, 27, 1, 26
0x7b43b3bca563, 25, 0x7b43b3bcb3e0, 6, 0x7b43b3bca620, 6, 0x7b43b3bcb020, 5, 0x7b43b3bcb660, 3, 0x7b43b3bcb520, 3, 0x7b43b3bcada0, 1, 0x7b43b3bcb2a0, 1
0x7b43b3bb88f9, 25, 1, 24
0x7b43b3bbc28d, 25
0x7b43b3bb8c10, 24, 3, 21
0x7b43b3bb8968, 24, 0, 24
0x7b43b3bb8935, 24, 0, 24
0x7b43b3bb8905, 24, 0, 24
0x7b43b3bbf950, 24, 1, 23
0x7b43b3bcb8e0, 24, 15, 9
0x7b43b3bb896f, 24
0x7b43b3bbf95d, 24, 22, 2
0x7b43b3bb8919, 24, 0, 24
0x7b43b3bb88f0, 24, 0, 24
0x7b43b3bb8915, 24, 0, 24
0x7b43b3bb8939, 24
0x7b43b3bb8c70, 24, 0x7b439f498914, 1, 0x7b439f49f66c, 1, 0x7b439f498900, 1, 0x7b439f4988ec, 1, 0x7b439f49f658, 1, 0x7b43b3bb7f8e, 1, 0x7b439f4988c4, 1, 0x7b43b3bb97f1, 1, 0x7b439f4988d8, 1, 0x7b439f49f644, 1
0x7b43b3bc45b6, 23, 1, 22
0x7b43b3bc1210, 23, 22, 1
0x7b43b3bc45c7, 23, 19, 4
0x7b43b3bc127a, 22, 21, 1
0x7b43b3bca55c, 22, 0x7b43b3bcb520, 8, 0x7b43b3bcac60, 3, 0x7b43b3bcb660, 2, 0x7b43b3bcb3e0, 2, 0x7b43b3bcaee0, 2, 0x7b43b3bcab20, 1, 0x7b43b3bca9e0, 1, 0x7b43b3bcada0, 1, 0x7b43b3bcb2a0, 1, 0x7b43b3bcb7a0, 1
