 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6d0 : 0x60217c4b0269: call 0x60217c4aa6d0
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b028e: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b0296: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b02c6: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b0d28: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa650 : 0x60217c4b0feb: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b109e: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b115b: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa510 : 0x60217c4b1c54: jmp 0x60217c4aa510
jump to orig addr: 0x60217c4aa470 : 0x60217c4b1cb6: jmp 0x60217c4aa470
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b1d35: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b1ea8: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa650 : 0x60217c4b3a6f: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b3a9a: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b3ad7: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa650 : 0x60217c4b3af7: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b3b1d: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa440 : 0x60217c4b3b63: call 0x60217c4aa440
jump to orig addr: 0x60217c4aa650 : 0x60217c4b3bf2: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa440 : 0x60217c4b3c16: jmp 0x60217c4aa440
jump to orig addr: 0x60217c4aa510 : 0x60217c4b3d5f: call 0x60217c4aa510
jump to orig addr: 0x60217c4aa650 : 0x60217c4b3dc3: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b40b1: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b42ab: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa650 : 0x60217c4b43c5: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b44cc: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa650 : 0x60217c4b4599: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b45be: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b48e3: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b49b4: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b49bc: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b49c4: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b49cc: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa650 : 0x60217c4b4ba5: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b4bf1: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4c50: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4c58: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4cee: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4cf6: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4d00: call 0x60217c4aa6e8
